Time 00:47:52  |  Episode 0  |  Beta 1.0  |  Th 41028.23746949686  |  dump 3156.327595475228  |  Cn 210874.1138198094  |  average_tao 85.827296242443  |  F 236.97698066334874  |  Rwd -757.5990483476764
Time 00:48:25  |  Episode 50  |  Beta 1.0  |  Th 31761.8077258554  |  dump 11127.80964196172  |  Cn 185281.51235751907  |  average_tao 112.7096105398598  |  F 255.82113968641596  |  Rwd -4928.668666463752
Time 00:48:59  |  Episode 100  |  Beta 1.0  |  Th 37382.803679707555  |  dump 6431.841779204429  |  Cn 194240.40593867315  |  average_tao 96.24619234937839  |  F 247.09798767672896  |  Rwd -2468.2648160080635
Time 00:49:36  |  Episode 150  |  Beta 1.0  |  Th 38176.29850002461  |  dump 5404.973953901026  |  Cn 194807.75142607518  |  average_tao 97.50474593187857  |  F 244.31934709022067  |  Rwd -1938.9610069500209
Time 00:50:11  |  Episode 200  |  Beta 1.0  |  Th 40015.91942565451  |  dump 3866.2405096364637  |  Cn 218483.34135310585  |  average_tao 88.57979501791422  |  F 240.0257175436008  |  Rwd -1132.8018663051416
Time 00:50:45  |  Episode 250  |  Beta 1.0  |  Th 42203.012732078256  |  dump 1872.7079597246586  |  Cn 212179.0058810106  |  average_tao 80.14573256198653  |  F 230.99454976286248  |  Rwd -92.29372522076414
Time 00:51:20  |  Episode 300  |  Beta 1.0  |  Th 42793.01991156677  |  dump 1578.9681456489293  |  Cn 226276.39041435719  |  average_tao 73.98848226599027  |  F 225.38289219337835  |  Rwd 66.37632540687059
Time 00:51:53  |  Episode 350  |  Beta 1.0  |  Th 43129.83477863604  |  dump 1582.1615493250401  |  Cn 231698.0636726758  |  average_tao 73.38851370644548  |  F 223.9827429977392  |  Rwd 71.51592091020078
Time 00:52:28  |  Episode 400  |  Beta 1.0  |  Th 42581.07926630571  |  dump 1687.2572947281417  |  Cn 240802.99300915183  |  average_tao 73.83602712801844  |  F 226.51839494094983  |  Rwd 7.992937962043184
Time 00:53:03  |  Episode 450  |  Beta 1.0  |  Th 43170.98504422435  |  dump 1437.9175229644777  |  Cn 256704.29677242745  |  average_tao 71.88012129870799  |  F 226.0758381587922  |  Rwd 144.46093940224821
Time 00:53:37  |  Episode 500  |  Beta 1.0  |  Th 43692.03407213847  |  dump 1199.9483297198644  |  Cn 263030.22151323524  |  average_tao 65.21018432090348  |  F 221.00581460792336  |  Rwd 273.86651658283705
